"Comunidad Autónoma","Universidad","Curso","Sexo","Forma de admisión","Rama de enseñanza","Nota media"
"Extremadura","Extremadura","2020-2021","Hombres","PAU","Ciencias de la Salud","11.74"
"Extremadura","Extremadura","2019-2020","Hombres","PAU","Ciencias de la Salud","10.93"
"Extremadura","Extremadura","2018-2019","Hombres","PAU","Ciencias de la Salud","10.78"
"Extremadura","Extremadura","2017-2018","Hombres","PAU","Ciencias de la Salud","10.48"
"Extremadura","Extremadura","2016-2017","Hombres","PAU","Ciencias de la Salud","10.85"
"Extremadura","Extremadura","2015-2016","Hombres","PAU","Ciencias de la Salud","10.74"
"Extremadura","Extremadura","2022-2023","Mujeres","PAU","Ciencias de la Salud","11.75"
"Extremadura","Extremadura","2021-2022","Mujeres","PAU","Ciencias de la Salud","11.77"
"Extremadura","Extremadura","2020-2021","Mujeres","PAU","Ciencias de la Salud","11.18"
"Extremadura","Extremadura","2019-2020","Mujeres","PAU","Ciencias de la Salud","10.78"
"Extremadura","Extremadura","2018-2019","Mujeres","PAU","Ciencias de la Salud","10.37"
"Extremadura","Extremadura","2017-2018","Mujeres","PAU","Ciencias de la Salud","10.48"
"Extremadura","Extremadura","2016-2017","Mujeres","PAU","Ciencias de la Salud","10.73"
"Extremadura","Extremadura","2015-2016","Mujeres","PAU","Ciencias de la Salud","10.52"
"Extremadura","Extremadura","2022-2023","Hombres","PAU","Ciencias","10.78"
"Extremadura","Extremadura","2021-2022","Hombres","PAU","Ciencias","11.09"
"Extremadura","Extremadura","2020-2021","Hombres","PAU","Ciencias","10.45"
"Extremadura","Extremadura","2019-2020","Hombres","PAU","Ciencias","10.26"
"Extremadura","Extremadura","2018-2019","Hombres","PAU","Ciencias","9.43"
"Extremadura","Extremadura","2017-2018","Hombres","PAU","Ciencias","9.18"
"Extremadura","Extremadura","2016-2017","Hombres","PAU","Ciencias","9.01"
"Extremadura","Extremadura","2015-2016","Hombres","PAU","Ciencias","9.15"
"Extremadura","Extremadura","2022-2023","Mujeres","PAU","Ciencias","10.79"
"Extremadura","Extremadura","2021-2022","Mujeres","PAU","Ciencias","11"
"Extremadura","Extremadura","2020-2021","Mujeres","PAU","Ciencias","10.78"
"Extremadura","Extremadura","2019-2020","Mujeres","PAU","Ciencias","10.13"
"Extremadura","Extremadura","2018-2019","Mujeres","PAU","Ciencias","9.48"
"Extremadura","Extremadura","2017-2018","Mujeres","PAU","Ciencias","9.37"
"Extremadura","Extremadura","2016-2017","Mujeres","PAU","Ciencias","8.7"
"Extremadura","Extremadura","2015-2016","Mujeres","PAU","Ciencias","8.8"
"Extremadura","Extremadura","2022-2023","Hombres","FP","Ciencias Sociales y Jurídicas","7.97"
"Extremadura","Extremadura","2021-2022","Hombres","FP","Ciencias Sociales y Jurídicas","8.08"
"Extremadura","Extremadura","2020-2021","Hombres","FP","Ciencias Sociales y Jurídicas","7.7"
"Extremadura","Extremadura","2019-2020","Hombres","FP","Ciencias Sociales y Jurídicas","7.49"
"Extremadura","Extremadura","2018-2019","Hombres","FP","Ciencias Sociales y Jurídicas","7.43"
"Extremadura","Extremadura","2017-2018","Hombres","FP","Ciencias Sociales y Jurídicas","7.89"
"Extremadura","Extremadura","2016-2017","Hombres","FP","Ciencias Sociales y Jurídicas","7.36"
"Extremadura","Extremadura","2015-2016","Hombres","FP","Ciencias Sociales y Jurídicas","7.48"
"Extremadura","Extremadura","2022-2023","Mujeres","FP","Ciencias Sociales y Jurídicas","7.91"
"Extremadura","Extremadura","2021-2022","Mujeres","FP","Ciencias Sociales y Jurídicas","8.01"
"Extremadura","Extremadura","2020-2021","Mujeres","FP","Ciencias Sociales y Jurídicas","7.68"
"Extremadura","Extremadura","2019-2020","Mujeres","FP","Ciencias Sociales y Jurídicas","7.52"
"Extremadura","Extremadura","2018-2019","Mujeres","FP","Ciencias Sociales y Jurídicas","7.43"
"Extremadura","Extremadura","2017-2018","Mujeres","FP","Ciencias Sociales y Jurídicas","7.46"
"Extremadura","Extremadura","2016-2017","Mujeres","FP","Ciencias Sociales y Jurídicas","7.47"
"Extremadura","Extremadura","2015-2016","Mujeres","FP","Ciencias Sociales y Jurídicas","7.31"
"Extremadura","Extremadura","2022-2023","Hombres","FP","Ingeniería y Arquitectura","7.13"
"Extremadura","Extremadura","2021-2022","Hombres","FP","Ingeniería y Arquitectura","7.21"
"Extremadura","Extremadura","2020-2021","Hombres","FP","Ingeniería y Arquitectura","7.03"
"Extremadura","Extremadura","2019-2020","Hombres","FP","Ingeniería y Arquitectura","6.92"
"Extremadura","Extremadura","2018-2019","Hombres","FP","Ingeniería y Arquitectura","6.81"
"Extremadura","Extremadura","2017-2018","Hombres","FP","Ingeniería y Arquitectura","7.01"
"Extremadura","Extremadura","2016-2017","Hombres","FP","Ingeniería y Arquitectura","6.92"
"Extremadura","Extremadura","2015-2016","Hombres","FP","Ingeniería y Arquitectura","7.05"
"Extremadura","Extremadura","2022-2023","Mujeres","FP","Ingeniería y Arquitectura",NA
"Extremadura","Extremadura","2021-2022","Mujeres","FP","Ingeniería y Arquitectura",NA
"Extremadura","Extremadura","2020-2021","Mujeres","FP","Ingeniería y Arquitectura",NA
"Extremadura","Extremadura","2019-2020","Mujeres","FP","Ingeniería y Arquitectura",NA
"Extremadura","Extremadura","2018-2019","Mujeres","FP","Ingeniería y Arquitectura",NA
"Extremadura","Extremadura","2017-2018","Mujeres","FP","Ingeniería y Arquitectura",NA
"Extremadura","Extremadura","2016-2017","Mujeres","FP","Ingeniería y Arquitectura",NA
"Extremadura","Extremadura","2015-2016","Mujeres","FP","Ingeniería y Arquitectura",NA
"Extremadura","Extremadura","2022-2023","Hombres","FP","Artes y Humanidades",NA
"Extremadura","Extremadura","2021-2022","Hombres","FP","Artes y Humanidades",NA
"Extremadura","Extremadura","2020-2021","Hombres","FP","Artes y Humanidades",NA
"Extremadura","Extremadura","2019-2020","Hombres","FP","Artes y Humanidades",NA
"Extremadura","Extremadura","2018-2019","Hombres","FP","Artes y Humanidades",NA
"Extremadura","Extremadura","2017-2018","Hombres","FP","Artes y Humanidades",NA
"Extremadura","Extremadura","2016-2017","Hombres","FP","Artes y Humanidades",NA
"Extremadura","Extremadura","2015-2016","Hombres","FP","Artes y Humanidades",NA
"Extremadura","Extremadura","2022-2023","Mujeres","FP","Artes y Humanidades",NA
"Extremadura","Extremadura","2021-2022","Mujeres","FP","Artes y Humanidades",NA
"Extremadura","Extremadura","2020-2021","Mujeres","FP","Artes y Humanidades",NA
"Extremadura","Extremadura","2019-2020","Mujeres","FP","Artes y Humanidades",NA
"Extremadura","Extremadura","2018-2019","Mujeres","FP","Artes y Humanidades",NA
"Extremadura","Extremadura","2017-2018","Mujeres","FP","Artes y Humanidades",NA
"Extremadura","Extremadura","2016-2017","Mujeres","FP","Artes y Humanidades",NA
"Extremadura","Extremadura","2015-2016","Mujeres","FP","Artes y Humanidades",NA
"Extremadura","Extremadura","2022-2023","Hombres","FP","Ciencias de la Salud",NA
"Extremadura","Extremadura","2021-2022","Hombres","FP","Ciencias de la Salud","11.52"
"Extremadura","Extremadura","2020-2021","Hombres","FP","Ciencias de la Salud","11.06"
"Extremadura","Extremadura","2019-2020","Hombres","FP","Ciencias de la Salud","10.08"
"Extremadura","Extremadura","2018-2019","Hombres","FP","Ciencias de la Salud","9.88"
"Extremadura","Extremadura","2017-2018","Hombres","FP","Ciencias de la Salud","9.37"
"Extremadura","Extremadura","2016-2017","Hombres","FP","Ciencias de la Salud",NA
"Extremadura","Extremadura","2015-2016","Hombres","FP","Ciencias de la Salud","8.96"
"Extremadura","Extremadura","2022-2023","Mujeres","FP","Ciencias de la Salud","11.13"
"Extremadura","Extremadura","2021-2022","Mujeres","FP","Ciencias de la Salud","10.96"
"Extremadura","Extremadura","2020-2021","Mujeres","FP","Ciencias de la Salud","10.37"
"Extremadura","Extremadura","2019-2020","Mujeres","FP","Ciencias de la Salud","9.73"
"Extremadura","Extremadura","2018-2019","Mujeres","FP","Ciencias de la Salud","9.29"
"Extremadura","Extremadura","2017-2018","Mujeres","FP","Ciencias de la Salud","9.24"
"Extremadura","Extremadura","2016-2017","Mujeres","FP","Ciencias de la Salud","9.6"
"Extremadura","Extremadura","2015-2016","Mujeres","FP","Ciencias de la Salud","9.61"
"Extremadura","Extremadura","2022-2023","Hombres","FP","Ciencias",NA
"Extremadura","Extremadura","2021-2022","Hombres","FP","Ciencias",NA
"Extremadura","Extremadura","2020-2021","Hombres","FP","Ciencias",NA
"Extremadura","Extremadura","2019-2020","Hombres","FP","Ciencias",NA
"Extremadura","Extremadura","2018-2019","Hombres","FP","Ciencias",NA
"Extremadura","Extremadura","2017-2018","Hombres","FP","Ciencias",NA
"Extremadura","Extremadura","2016-2017","Hombres","FP","Ciencias",NA
"Extremadura","Extremadura","2015-2016","Hombres","FP","Ciencias",NA
"Extremadura","Extremadura","2022-2023","Mujeres","FP","Ciencias",NA
"Extremadura","Extremadura","2021-2022","Mujeres","FP","Ciencias",NA
"Extremadura","Extremadura","2020-2021","Mujeres","FP","Ciencias",NA
"Extremadura","Extremadura","2019-2020","Mujeres","FP","Ciencias",NA
"Extremadura","Extremadura","2018-2019","Mujeres","FP","Ciencias",NA
"Extremadura","Extremadura","2017-2018","Mujeres","FP","Ciencias",NA
"Extremadura","Extremadura","2016-2017","Mujeres","FP","Ciencias",NA
"Extremadura","Extremadura","2015-2016","Mujeres","FP","Ciencias",NA
"Cataluña","Girona","2022-2023","Hombres","PAU","Ciencias Sociales y Jurídicas","8.78"
"Cataluña","Girona","2021-2022","Hombres","PAU","Ciencias Sociales y Jurídicas","8.95"
"Cataluña","Girona","2020-2021","Hombres","PAU","Ciencias Sociales y Jurídicas","8.67"
"Cataluña","Girona","2019-2020","Hombres","PAU","Ciencias Sociales y Jurídicas","8.19"
"Cataluña","Girona","2018-2019","Hombres","PAU","Ciencias Sociales y Jurídicas","8.01"
"Cataluña","Girona","2017-2018","Hombres","PAU","Ciencias Sociales y Jurídicas","7.71"
"Cataluña","Girona","2016-2017","Hombres","PAU","Ciencias Sociales y Jurídicas","7.45"
"Cataluña","Girona","2015-2016","Hombres","PAU","Ciencias Sociales y Jurídicas","7.54"
"Cataluña","Girona","2022-2023","Mujeres","PAU","Ciencias Sociales y Jurídicas","9.32"
"Cataluña","Girona","2021-2022","Mujeres","PAU","Ciencias Sociales y Jurídicas","9.51"
"Cataluña","Girona","2020-2021","Mujeres","PAU","Ciencias Sociales y Jurídicas","8.99"
"Cataluña","Girona","2019-2020","Mujeres","PAU","Ciencias Sociales y Jurídicas","8.7"
"Cataluña","Girona","2018-2019","Mujeres","PAU","Ciencias Sociales y Jurídicas","8.46"
"Cataluña","Girona","2017-2018","Mujeres","PAU","Ciencias Sociales y Jurídicas","8.37"
"Cataluña","Girona","2016-2017","Mujeres","PAU","Ciencias Sociales y Jurídicas","7.93"
"Cataluña","Girona","2015-2016","Mujeres","PAU","Ciencias Sociales y Jurídicas","8"
"Cataluña","Girona","2022-2023","Hombres","PAU","Ingeniería y Arquitectura","8.87"
"Cataluña","Girona","2021-2022","Hombres","PAU","Ingeniería y Arquitectura","8.54"
"Cataluña","Girona","2020-2021","Hombres","PAU","Ingeniería y Arquitectura","8.9"
"Cataluña","Girona","2019-2020","Hombres","PAU","Ingeniería y Arquitectura","8.32"
"Cataluña","Girona","2018-2019","Hombres","PAU","Ingeniería y Arquitectura","8.55"
"Cataluña","Girona","2017-2018","Hombres","PAU","Ingeniería y Arquitectura","8.18"
"Cataluña","Girona","2016-2017","Hombres","PAU","Ingeniería y Arquitectura","7.92"
"Cataluña","Girona","2015-2016","Hombres","PAU","Ingeniería y Arquitectura","7.83"
"Cataluña","Girona","2022-2023","Mujeres","PAU","Ingeniería y Arquitectura","9.75"
"Cataluña","Girona","2021-2022","Mujeres","PAU","Ingeniería y Arquitectura","9.13"
"Cataluña","Girona","2020-2021","Mujeres","PAU","Ingeniería y Arquitectura","8.91"
"Cataluña","Girona","2019-2020","Mujeres","PAU","Ingeniería y Arquitectura","8.6"
"Cataluña","Girona","2018-2019","Mujeres","PAU","Ingeniería y Arquitectura","8.79"
"Cataluña","Girona","2017-2018","Mujeres","PAU","Ingeniería y Arquitectura","8.68"
"Cataluña","Girona","2016-2017","Mujeres","PAU","Ingeniería y Arquitectura","7.96"
"Cataluña","Girona","2015-2016","Mujeres","PAU","Ingeniería y Arquitectura","8.12"
"Cataluña","Girona","2022-2023","Hombres","PAU","Artes y Humanidades","7.79"
"Cataluña","Girona","2021-2022","Hombres","PAU","Artes y Humanidades","7.98"
"Cataluña","Girona","2020-2021","Hombres","PAU","Artes y Humanidades","7.64"
"Cataluña","Girona","2019-2020","Hombres","PAU","Artes y Humanidades","7.99"
"Cataluña","Girona","2018-2019","Hombres","PAU","Artes y Humanidades","7.82"
"Cataluña","Girona","2017-2018","Hombres","PAU","Artes y Humanidades","7.4"
"Cataluña","Girona","2016-2017","Hombres","PAU","Artes y Humanidades","6.99"
"Cataluña","Girona","2015-2016","Hombres","PAU","Artes y Humanidades","7.12"
"Cataluña","Girona","2022-2023","Mujeres","PAU","Artes y Humanidades","8.56"
"Cataluña","Girona","2021-2022","Mujeres","PAU","Artes y Humanidades","8.21"
"Cataluña","Girona","2020-2021","Mujeres","PAU","Artes y Humanidades","7.99"
"Cataluña","Girona","2019-2020","Mujeres","PAU","Artes y Humanidades","8.24"
"Cataluña","Girona","2018-2019","Mujeres","PAU","Artes y Humanidades","8.56"
"Cataluña","Girona","2017-2018","Mujeres","PAU","Artes y Humanidades","8.11"
"Cataluña","Girona","2016-2017","Mujeres","PAU","Artes y Humanidades","8.16"
"Cataluña","Girona","2015-2016","Mujeres","PAU","Artes y Humanidades","7.73"
"Cataluña","Girona","2022-2023","Hombres","PAU","Ciencias de la Salud","8.63"
"Cataluña","Girona","2021-2022","Hombres","PAU","Ciencias de la Salud","9.14"
"Cataluña","Girona","2020-2021","Hombres","PAU","Ciencias de la Salud","8.57"
"Cataluña","Girona","2019-2020","Hombres","PAU","Ciencias de la Salud","7.85"
"Cataluña","Girona","2018-2019","Hombres","PAU","Ciencias de la Salud","7.95"
"Cataluña","Girona","2017-2018","Hombres","PAU","Ciencias de la Salud","7.59"
"Cataluña","Girona","2016-2017","Hombres","PAU","Ciencias de la Salud","7.66"
"Cataluña","Girona","2015-2016","Hombres","PAU","Ciencias de la Salud","7.62"
"Cataluña","Girona","2022-2023","Mujeres","PAU","Ciencias de la Salud","10.28"
"Cataluña","Girona","2021-2022","Mujeres","PAU","Ciencias de la Salud","10.21"
"Cataluña","Girona","2020-2021","Mujeres","PAU","Ciencias de la Salud","10.01"
"Cataluña","Girona","2019-2020","Mujeres","PAU","Ciencias de la Salud","9.39"
"Cataluña","Girona","2018-2019","Mujeres","PAU","Ciencias de la Salud","9.79"
"Cataluña","Girona","2017-2018","Mujeres","PAU","Ciencias de la Salud","9.41"
"Cataluña","Girona","2016-2017","Mujeres","PAU","Ciencias de la Salud","9.23"
"Cataluña","Girona","2015-2016","Mujeres","PAU","Ciencias de la Salud","9.06"
"Cataluña","Girona","2022-2023","Hombres","PAU","Ciencias","10.31"
"Cataluña","Girona","2021-2022","Hombres","PAU","Ciencias","10.18"
"Cataluña","Girona","2020-2021","Hombres","PAU","Ciencias","10.08"
"Cataluña","Girona","2019-2020","Hombres","PAU","Ciencias","9.72"
"Cataluña","Girona","2018-2019","Hombres","PAU","Ciencias","9.91"
"Cataluña","Girona","2017-2018","Hombres","PAU","Ciencias","9.11"
"Cataluña","Girona","2016-2017","Hombres","PAU","Ciencias","9.14"
"Cataluña","Girona","2015-2016","Hombres","PAU","Ciencias","9.41"
"Cataluña","Girona","2022-2023","Mujeres","PAU","Ciencias","10.73"
"Cataluña","Girona","2021-2022","Mujeres","PAU","Ciencias","10.54"
"Cataluña","Girona","2020-2021","Mujeres","PAU","Ciencias","10.45"
"Cataluña","Girona","2019-2020","Mujeres","PAU","Ciencias","9.97"
"Cataluña","Girona","2018-2019","Mujeres","PAU","Ciencias","9.71"
"Cataluña","Girona","2017-2018","Mujeres","PAU","Ciencias","9.79"
"Cataluña","Girona","2016-2017","Mujeres","PAU","Ciencias","9.73"
"Cataluña","Girona","2015-2016","Mujeres","PAU","Ciencias","9.69"
"Cataluña","Girona","2022-2023","Hombres","FP","Ciencias Sociales y Jurídicas","7.83"
"Cataluña","Girona","2021-2022","Hombres","FP","Ciencias Sociales y Jurídicas","7.82"
"Cataluña","Girona","2020-2021","Hombres","FP","Ciencias Sociales y Jurídicas","7.77"
"Cataluña","Girona","2019-2020","Hombres","FP","Ciencias Sociales y Jurídicas","7.46"
"Cataluña","Girona","2018-2019","Hombres","FP","Ciencias Sociales y Jurídicas","7.62"
"Cataluña","Girona","2017-2018","Hombres","FP","Ciencias Sociales y Jurídicas","7.43"
"Cataluña","Girona","2016-2017","Hombres","FP","Ciencias Sociales y Jurídicas","7.36"
"Cataluña","Girona","2015-2016","Hombres","FP","Ciencias Sociales y Jurídicas","7.15"
"Cataluña","Girona","2022-2023","Mujeres","FP","Ciencias Sociales y Jurídicas","8.53"
"Cataluña","Girona","2021-2022","Mujeres","FP","Ciencias Sociales y Jurídicas","8.66"
"Cataluña","Girona","2020-2021","Mujeres","FP","Ciencias Sociales y Jurídicas","8.52"
"Cataluña","Girona","2019-2020","Mujeres","FP","Ciencias Sociales y Jurídicas","8.15"
"Cataluña","Girona","2018-2019","Mujeres","FP","Ciencias Sociales y Jurídicas","8.07"
"Cataluña","Girona","2017-2018","Mujeres","FP","Ciencias Sociales y Jurídicas","7.93"
"Cataluña","Girona","2016-2017","Mujeres","FP","Ciencias Sociales y Jurídicas","7.88"
"Cataluña","Girona","2015-2016","Mujeres","FP","Ciencias Sociales y Jurídicas","7.71"
"Cataluña","Girona","2022-2023","Hombres","FP","Ingeniería y Arquitectura","7.78"
"Cataluña","Girona","2021-2022","Hombres","FP","Ingeniería y Arquitectura","7.7"
"Cataluña","Girona","2020-2021","Hombres","FP","Ingeniería y Arquitectura","7.45"
"Cataluña","Girona","2019-2020","Hombres","FP","Ingeniería y Arquitectura","7.39"
"Cataluña","Girona","2018-2019","Hombres","FP","Ingeniería y Arquitectura","6.98"
"Cataluña","Girona","2017-2018","Hombres","FP","Ingeniería y Arquitectura","7.26"
"Cataluña","Girona","2016-2017","Hombres","FP","Ingeniería y Arquitectura","7.4"
"Cataluña","Girona","2015-2016","Hombres","FP","Ingeniería y Arquitectura","7.07"
"Cataluña","Girona","2022-2023","Mujeres","FP","Ingeniería y Arquitectura",NA
"Cataluña","Girona","2021-2022","Mujeres","FP","Ingeniería y Arquitectura",NA
"Cataluña","Girona","2020-2021","Mujeres","FP","Ingeniería y Arquitectura",NA
"Cataluña","Girona","2019-2020","Mujeres","FP","Ingeniería y Arquitectura",NA
"Cataluña","Girona","2018-2019","Mujeres","FP","Ingeniería y Arquitectura",NA
"Cataluña","Girona","2017-2018","Mujeres","FP","Ingeniería y Arquitectura",NA
"Cataluña","Girona","2016-2017","Mujeres","FP","Ingeniería y Arquitectura",NA
"Cataluña","Girona","2015-2016","Mujeres","FP","Ingeniería y Arquitectura",NA
"Cataluña","Girona","2022-2023","Hombres","FP","Artes y Humanidades",NA
"Cataluña","Girona","2021-2022","Hombres","FP","Artes y Humanidades",NA
"Cataluña","Girona","2020-2021","Hombres","FP","Artes y Humanidades",NA
"Cataluña","Girona","2019-2020","Hombres","FP","Artes y Humanidades",NA
"Cataluña","Girona","2018-2019","Hombres","FP","Artes y Humanidades",NA
"Cataluña","Girona","2017-2018","Hombres","FP","Artes y Humanidades",NA
"Cataluña","Girona","2016-2017","Hombres","FP","Artes y Humanidades",NA
"Cataluña","Girona","2015-2016","Hombres","FP","Artes y Humanidades",NA
"Cataluña","Girona","2022-2023","Mujeres","FP","Artes y Humanidades",NA
"Cataluña","Girona","2021-2022","Mujeres","FP","Artes y Humanidades",NA
"Cataluña","Girona","2020-2021","Mujeres","FP","Artes y Humanidades",NA
"Cataluña","Girona","2019-2020","Mujeres","FP","Artes y Humanidades",NA
"Cataluña","Girona","2018-2019","Mujeres","FP","Artes y Humanidades",NA
"Cataluña","Girona","2017-2018","Mujeres","FP","Artes y Humanidades",NA
"Cataluña","Girona","2016-2017","Mujeres","FP","Artes y Humanidades",NA
"Cataluña","Girona","2015-2016","Mujeres","FP","Artes y Humanidades",NA
"Cataluña","Girona","2022-2023","Hombres","FP","Ciencias de la Salud","8.1"
"Cataluña","Girona","2021-2022","Hombres","FP","Ciencias de la Salud","8.14"
"Cataluña","Girona","2020-2021","Hombres","FP","Ciencias de la Salud","8.28"
"Cataluña","Girona","2019-2020","Hombres","FP","Ciencias de la Salud","7.53"
"Cataluña","Girona","2018-2019","Hombres","FP","Ciencias de la Salud","7.8"
"Cataluña","Girona","2017-2018","Hombres","FP","Ciencias de la Salud","8.06"
"Cataluña","Girona","2016-2017","Hombres","FP","Ciencias de la Salud","7.86"
"Cataluña","Girona","2015-2016","Hombres","FP","Ciencias de la Salud","7.88"
"Cataluña","Girona","2022-2023","Mujeres","FP","Ciencias de la Salud","10.45"
"Cataluña","Girona","2021-2022","Mujeres","FP","Ciencias de la Salud","10.4"
"Cataluña","Girona","2020-2021","Mujeres","FP","Ciencias de la Salud","9.49"
"Cataluña","Girona","2019-2020","Mujeres","FP","Ciencias de la Salud","9.19"
"Cataluña","Girona","2018-2019","Mujeres","FP","Ciencias de la Salud","9.28"
"Cataluña","Girona","2017-2018","Mujeres","FP","Ciencias de la Salud","9.15"
"Cataluña","Girona","2016-2017","Mujeres","FP","Ciencias de la Salud","8.87"
"Cataluña","Girona","2015-2016","Mujeres","FP","Ciencias de la Salud","9.74"
"Cataluña","Girona","2022-2023","Hombres","FP","Ciencias",NA
"Cataluña","Girona","2021-2022","Hombres","FP","Ciencias",NA
"Cataluña","Girona","2020-2021","Hombres","FP","Ciencias",NA
"Cataluña","Girona","2019-2020","Hombres","FP","Ciencias",NA
"Cataluña","Girona","2018-2019","Hombres","FP","Ciencias",NA
"Cataluña","Girona","2017-2018","Hombres","FP","Ciencias",NA
"Cataluña","Girona","2016-2017","Hombres","FP","Ciencias",NA
"Cataluña","Girona","2015-2016","Hombres","FP","Ciencias",NA
"Cataluña","Girona","2022-2023","Mujeres","FP","Ciencias",NA
"Cataluña","Girona","2021-2022","Mujeres","FP","Ciencias",NA
"Cataluña","Girona","2020-2021","Mujeres","FP","Ciencias",NA
"Cataluña","Girona","2019-2020","Mujeres","FP","Ciencias",NA
"Cataluña","Girona","2018-2019","Mujeres","FP","Ciencias",NA
"Cataluña","Girona","2017-2018","Mujeres","FP","Ciencias",NA
"Cataluña","Girona","2016-2017","Mujeres","FP","Ciencias",NA
"Cataluña","Girona","2015-2016","Mujeres","FP","Ciencias",NA
"Andalucía","Granada","2022-2023","Hombres","PAU","Ciencias Sociales y Jurídicas","9.98"
"Andalucía","Granada","2021-2022","Hombres","PAU","Ciencias Sociales y Jurídicas","9.8"
"Andalucía","Granada","2020-2021","Hombres","PAU","Ciencias Sociales y Jurídicas","9.35"
"Andalucía","Granada","2019-2020","Hombres","PAU","Ciencias Sociales y Jurídicas","8.87"
"Andalucía","Granada","2018-2019","Hombres","PAU","Ciencias Sociales y Jurídicas","8.87"
"Andalucía","Granada","2017-2018","Hombres","PAU","Ciencias Sociales y Jurídicas","8.89"
"Andalucía","Granada","2016-2017","Hombres","PAU","Ciencias Sociales y Jurídicas","8.37"
"Andalucía","Granada","2015-2016","Hombres","PAU","Ciencias Sociales y Jurídicas","8.26"
"Andalucía","Granada","2022-2023","Mujeres","PAU","Ciencias Sociales y Jurídicas","10.22"
"Andalucía","Granada","2021-2022","Mujeres","PAU","Ciencias Sociales y Jurídicas","10.08"
"Andalucía","Granada","2020-2021","Mujeres","PAU","Ciencias Sociales y Jurídicas","9.66"
"Andalucía","Granada","2019-2020","Mujeres","PAU","Ciencias Sociales y Jurídicas","9.06"
"Andalucía","Granada","2018-2019","Mujeres","PAU","Ciencias Sociales y Jurídicas","9.12"
"Andalucía","Granada","2017-2018","Mujeres","PAU","Ciencias Sociales y Jurídicas","8.99"
"Andalucía","Granada","2016-2017","Mujeres","PAU","Ciencias Sociales y Jurídicas","8.46"
"Andalucía","Granada","2015-2016","Mujeres","PAU","Ciencias Sociales y Jurídicas","8.35"
"Andalucía","Granada","2022-2023","Hombres","PAU","Ingeniería y Arquitectura","10.9"
"Andalucía","Granada","2021-2022","Hombres","PAU","Ingeniería y Arquitectura","10.8"
"Andalucía","Granada","2020-2021","Hombres","PAU","Ingeniería y Arquitectura","10.44"
"Andalucía","Granada","2019-2020","Hombres","PAU","Ingeniería y Arquitectura","9.79"
"Andalucía","Granada","2018-2019","Hombres","PAU","Ingeniería y Arquitectura","9.86"
"Andalucía","Granada","2017-2018","Hombres","PAU","Ingeniería y Arquitectura","9.66"
"Andalucía","Granada","2016-2017","Hombres","PAU","Ingeniería y Arquitectura","9.23"
"Andalucía","Granada","2015-2016","Hombres","PAU","Ingeniería y Arquitectura","9.2"
"Andalucía","Granada","2022-2023","Mujeres","PAU","Ingeniería y Arquitectura","10.37"
"Andalucía","Granada","2021-2022","Mujeres","PAU","Ingeniería y Arquitectura","10.53"
"Andalucía","Granada","2020-2021","Mujeres","PAU","Ingeniería y Arquitectura","10.26"
"Andalucía","Granada","2019-2020","Mujeres","PAU","Ingeniería y Arquitectura","9.64"
"Andalucía","Granada","2018-2019","Mujeres","PAU","Ingeniería y Arquitectura","9.21"
"Andalucía","Granada","2017-2018","Mujeres","PAU","Ingeniería y Arquitectura","9.29"
"Andalucía","Granada","2016-2017","Mujeres","PAU","Ingeniería y Arquitectura","9.02"
"Andalucía","Granada","2015-2016","Mujeres","PAU","Ingeniería y Arquitectura","9.28"
"Andalucía","Granada","2022-2023","Hombres","PAU","Artes y Humanidades","9.89"
"Andalucía","Granada","2021-2022","Hombres","PAU","Artes y Humanidades","9.73"
"Andalucía","Granada","2020-2021","Hombres","PAU","Artes y Humanidades","9.56"
"Andalucía","Granada","2019-2020","Hombres","PAU","Artes y Humanidades","9.16"
"Andalucía","Granada","2018-2019","Hombres","PAU","Artes y Humanidades","9.15"
"Andalucía","Granada","2017-2018","Hombres","PAU","Artes y Humanidades","9.31"
"Andalucía","Granada","2016-2017","Hombres","PAU","Artes y Humanidades","8.59"
"Andalucía","Granada","2015-2016","Hombres","PAU","Artes y Humanidades","8.51"
"Andalucía","Granada","2022-2023","Mujeres","PAU","Artes y Humanidades","10.83"
"Andalucía","Granada","2021-2022","Mujeres","PAU","Artes y Humanidades","10.69"
"Andalucía","Granada","2020-2021","Mujeres","PAU","Artes y Humanidades","10.4"
"Andalucía","Granada","2019-2020","Mujeres","PAU","Artes y Humanidades","10.22"
"Andalucía","Granada","2018-2019","Mujeres","PAU","Artes y Humanidades","10"
"Andalucía","Granada","2017-2018","Mujeres","PAU","Artes y Humanidades","10.06"
"Andalucía","Granada","2016-2017","Mujeres","PAU","Artes y Humanidades","9.53"
"Andalucía","Granada","2015-2016","Mujeres","PAU","Artes y Humanidades","9.52"
"Andalucía","Granada","2022-2023","Hombres","PAU","Ciencias de la Salud","12.23"
"Andalucía","Granada","2021-2022","Hombres","PAU","Ciencias de la Salud","12.17"
"Andalucía","Granada","2020-2021","Hombres","PAU","Ciencias de la Salud","11.75"
"Andalucía","Granada","2019-2020","Hombres","PAU","Ciencias de la Salud","10.99"
"Andalucía","Granada","2018-2019","Hombres","PAU","Ciencias de la Salud","10.96"
"Andalucía","Granada","2017-2018","Hombres","PAU","Ciencias de la Salud","10.79"
"Andalucía","Granada","2016-2017","Hombres","PAU","Ciencias de la Salud","10.75"
"Andalucía","Granada","2015-2016","Hombres","PAU","Ciencias de la Salud","10.67"
